kanji	katakana	meaning	
漏らす	もらす	to let leak, to reveal	 MediaMissing 
盛り上がる	もりあがる	to rouse, to swell, to rise	 MediaMissing 
漏る	もる	to leak, to run out	 MediaMissing 
漏れる	もれる	to leak out, to escape, to filter out	 MediaMissing 
脆い	もろい	brittle, fragile, tender-hearted	 MediaMissing 
もろに	もろに	completely, altogether, bodily	 MediaMissing 
矢	や	arrow	 MediaMissing 
野外	やがい	fields, outskirts, open air, suburbs	 MediaMissing 
～薬	～やく	medicine	 MediaMissing 
夜具	やぐ	bedding	 MediaMissing 
役職	やくしょく	post, managerial position, official position	 MediaMissing 
役場	やくば	town hall	 MediaMissing 
やけに	やけに	sure, very	 MediaMissing 
屋敷	やしき	mansion	 MediaMissing 
養う	やしなう	to rear, to maintain, to cultivate	 MediaMissing 
野心	やしん	ambition, aspiration	 MediaMissing 
安っぽい	やすっぽい	cheap-looking, tawdry	 MediaMissing 
休める	やすめる	to rest, to suspend, to give relief	 MediaMissing 
野生	やせい	wild	 MediaMissing 
奴	やつ	(vulg.) fellow, guy, chap	 MediaMissing 
闇	やみ	darkness, shady, illegal	 MediaMissing 
病む	やむ	to fall ill, to be ill	 MediaMissing 
ややこしい	ややこしい	puzzling, tangled, complicated, complex	 MediaMissing 
やりとおす	やりとおす	to carry through, to achieve, to complete	 MediaMissing 
やりとげる	やりとげる	to accomplish	 MediaMissing 
和らげる	やわらげる	to soften, to moderate, to relieve	 MediaMissing 
ヤング	ヤング	young	 MediaMissing 
～油	～ゆ	~ oil	 MediaMissing 
優位	ゆうい	predominance, ascendancy, superiority	 MediaMissing 
憂鬱	ゆううつ	depression, melancholy	 MediaMissing 
有益	ゆうえき	beneficial, profitable	 MediaMissing 
優越	ゆうえつ	supremacy, predominance, being superior to	 MediaMissing 
勇敢	ゆうかん	bravery, heroism, gallantry	 MediaMissing 
夕暮れ	ゆうぐれ	evening, (evening) twilight	 MediaMissing 
融資	ゆうし	financing, loan	 MediaMissing 
有する	ゆうする	to own, to be endowed with	 MediaMissing 
優勢	ゆうせい	superiority, superior power, predominance	 MediaMissing 
優先	ゆうせん	preference, priority	 MediaMissing 
誘導	ゆうどう	guidance, leading, inducement	 MediaMissing 
融通	ゆうずう	adaptability, versatility, finance	 MediaMissing 
優美	ゆうび	grace, refinement, elegance	 MediaMissing 
有望	ゆうぼう	good prospects, full of hope, promising	 MediaMissing 
遊牧	ゆうぼく	nomadism	 MediaMissing 
夕焼け	ゆうやけ	sunset	 MediaMissing 
有力	ゆうりょく	influence, prominence; potent	 MediaMissing 
幽霊	ゆうれい	ghost, specter, phantom	 MediaMissing 
誘惑	ゆうわく	temptation, allurement, lure	 MediaMissing 
故	ゆえ	reason, cause, circumstances	 MediaMissing 
歪む	ゆがむ	to warp, to be crooked, to be distorted	 MediaMissing 
揺さぶる	ゆさぶる	to shake, to jolt, to rock, to swing	 MediaMissing 
濯ぐ	ゆすぐ	to rinse, to wash out	 MediaMissing 
ゆとり	ゆとり	reserve, affluence, time (to spare)	 MediaMissing 
ユニーク	ユニーク	unique	 MediaMissing 
ユニフォーム	ユニフォーム	uniform	 MediaMissing 
指差す	ゆびさす	to point at	 MediaMissing 
弓	ゆみ	bow	 MediaMissing 
揺らぐ	ゆらぐ	to swing, to sway, to shake	 MediaMissing 
緩む	ゆるむ	to become loose, to slacken	 MediaMissing 
緩める	ゆるめる	to loosen, to slow down	 MediaMissing 
緩やか	ゆるやか	lenient	 MediaMissing 
要因	よういん	primary factor, main cause	 MediaMissing 
溶液	ようえき	solution	 MediaMissing 
用件	ようけん	business	 MediaMissing 
養護	ようご	protection, nursing, protective care	 MediaMissing 
用紙	ようし	a form	 MediaMissing  Intermediate_Japanese Intermediate_Japanese_Ln.3
様式	ようしき	style, form, pattern	 MediaMissing 
要する	ようする	to demand, to require, to take	 MediaMissing 
要請	ようせい	claim, demand, request, application	 MediaMissing 
様相	ようそう	aspect	 MediaMissing 
用品	ようひん	articles, supplies, parts	 MediaMissing 
洋風	ようふう	western style	 MediaMissing 
用法	ようほう	directions, rules of use	 MediaMissing 
要望	ようぼう	demand for, request	 MediaMissing 
余暇	よか	leisure, leisure time, spare time	 MediaMissing 
予感	よかん	presentiment, premonition	 MediaMissing 
余興	よきょう	side show, entertainment	 MediaMissing 
預金	よきん	deposit, bank account	 MediaMissing 
欲	よく	greed, wants	 MediaMissing 
抑圧	よくあつ	restraint, oppression, suppression	 MediaMissing 
浴室	よくしつ	bathroom, bath	 MediaMissing 
抑制	よくせい	control, restraint, suppression	 MediaMissing 
欲深い	よくふかい	greedy	 MediaMissing 
欲望	よくぼう	desire, appetite	 MediaMissing  Intermediate_Japanese_Ln.13 Intermediate_Japanese
避ける	よける	to avoid (physical contact with; to ward off, to avert	 MediaMissing 
予言	よげん	prediction, promise, prognostication	 MediaMissing 
横綱	よこづな	sumo grand champion	 MediaMissing 
汚れ	よごれ	dirt, filth	 MediaMissing 
よし (かん)	よし (かん)	all right!	 MediaMissing 
良し	よし	all right!	 MediaMissing 
善し悪し	よしあし	good or bad, merits or demerits, quality	 MediaMissing 
余所見	よそみ	looking away, looking aside	 MediaMissing 
余地	よち	place, room, margin	 MediaMissing 
よって (よりどころ)	よって (よりどころ)	therefore, consequently	 MediaMissing 
与党	よとう	government party, (ruling) party in power, government	 MediaMissing 
呼び止める	よびとめる	to flag down	 MediaMissing Intermediate_Japanese_Ln.6  Intermediate_Japanese
夜更し	よふかし	staying up late, keeping late hours	 MediaMissing 
夜更け	よふけ	late at night	 MediaMissing 
余程	よほど	very, much, to a large extent, quite	 MediaMissing 
読み上げる	よみあげる	to read out loud (and clearly), to call a roll	 MediaMissing 
～寄り	～より	near to ~ (e.g., North by East)	 MediaMissing 
寄り掛かる	よりかかる	to lean against, to recline on, to lean on, to rely on	 MediaMissing 
世論	よろん	public opinion	 MediaMissing 
弱る	よわる	to weaken, to be troubled, to be emaciated	 MediaMissing 
来場	らいじょう	attendance	 MediaMissing 
ライス	ライス	rice	 MediaMissing 
酪農	らくのう	dairy farming	 MediaMissing 
落下	らっか	fall, drop, come down	 MediaMissing 
楽観	らっかん	optimism	 MediaMissing 
ランプ	ランプ	lamp; ramp	 MediaMissing 
濫用	らんよう	abuse, misuse, using to excess	 MediaMissing 
リード	リード	lead; reed	 MediaMissing 
理屈	りくつ	theory, reason	 MediaMissing 
利子	りし	interest (bank)	 MediaMissing 
利潤	りじゅん	profit, returns	 MediaMissing 
理性	りせい	reason, sense	 MediaMissing 
利息	りそく	interest (bank)	 MediaMissing 
立体	りったい	solid body	 MediaMissing 
立方	りっぽう	cube	 MediaMissing 
立法	りっぽう	legislation, lawmaking	 MediaMissing 
利点	りてん	advantage, point in favor	 MediaMissing 
略奪	りゃくだつ	pillage, looting, robbery	 MediaMissing 
略語	りゃくご	abbreviation, acronym	 MediaMissing 
流通	りゅうつう	circulation of money or goods, distribution	 MediaMissing 
領域	りょういき	area, territory, region	 MediaMissing 
了解	りょうかい	comprehension, consent, understanding	 MediaMissing 
領海	りょうかい	territorial waters	 MediaMissing 
両極	りょうきょく	both extremities, north and south poles	 MediaMissing 
良好	りょうこう	favorable, satisfactory	 MediaMissing 
良識	りょうしき	good sense	 MediaMissing 
良質	りょうしつ	good quality, superior quality	 MediaMissing 
了承	りょうしょう	acknowledgment, understanding	 MediaMissing 
良心	りょうしん	conscience	 MediaMissing 
領地	りょうち	territory	 MediaMissing 
領土	りょうど	territory, possession	 MediaMissing 
両立	りょうりつ	compatibility, coexistence, standing together	 MediaMissing 
旅客	りょかく	passenger	 MediaMissing 
旅券	りょけん	passport	 MediaMissing 
履歴	りれき	personal history, background, log	 MediaMissing 
理論	りろん	theory	 MediaMissing 
林業	りんぎょう	forestry	 MediaMissing 
類	るい	kind, class, family	 MediaMissing 
類推	るいすい	analogy	 MediaMissing 
類似	るいじ	analogous	 MediaMissing 
ルーズ	ルーズ	loose	 MediaMissing 
冷酷	れいこく	cruelty, coldheartedness, ruthless	 MediaMissing 
冷蔵	れいぞう	refrigeration	 MediaMissing 
冷淡	れいたん	coolness, indifference	 MediaMissing 
レース	レース	race; lace	 MediaMissing 
レギュラー	レギュラー	regular	 MediaMissing 
レッスン	レッスン	lesson	 MediaMissing 
レディー	レディー	lady	 MediaMissing 
レバー	レバー	lever; liver	 MediaMissing 
恋愛	れんあい	love, romance	 MediaMissing 
連休	れんきゅう	consecutive holidays	 MediaMissing 
レンジ	レンジ	range, stove	 MediaMissing 
連日	れんじつ	every day	 MediaMissing 
連帯	れんたい	solidarity	 MediaMissing 
レンタカー	レンタカー	rented car	 MediaMissing 
連中	れんちゅう	colleagues, company, a lot	 MediaMissing 
レントゲン	レントゲン	X-ray (lit: Roentgen)	 MediaMissing 
連邦	れんぽう	commonwealth, federation of states	 MediaMissing 
連盟	れんめい	league, union, alliance	 MediaMissing 
老衰	ろうすい	senility, senile decay	 MediaMissing 
朗読	ろうどく	reading aloud, recitation	 MediaMissing 
浪費	ろうひ	waste, extravagance	 MediaMissing 
労力	ろうりょく	labor, effort, trouble	 MediaMissing 
ロープウエイ	ロープウエイ	ropeway, aerial tram	 MediaMissing 
ロープ	ロープ	rope	 MediaMissing 
ろくな	ろくな	satisfactory, decent	 MediaMissing 
露骨	ろこつ	blunt, outspoken; conspicuous; broad, suggestive	 MediaMissing 
ロマンチック	ロマンチック	romantic	 MediaMissing 
論議	ろんぎ	discussion	 MediaMissing 
論理	ろんり	logic	 MediaMissing 
惑星	わくせい	planet	 MediaMissing 
技	わざ	art, technique	 MediaMissing 
わざわざ	わざわざ	take the trouble (to do), doing something especially rather than incidentally	 MediaMissing  Intermediate_Japanese_Ln.9 Intermediate_Japanese
煩わしい	わずらわしい	burdensome, troublesome, complicated	 MediaMissing  Intermediate_Japanese_Ln.15 Intermediate_Japanese
渡り鳥	わたりどり	migratory bird, bird of passage	 MediaMissing 
ワット	ワット	watt	 MediaMissing 
詫び	わび	apology	 MediaMissing 
和文	わぶん	Japanese text, sentence in Japanese	 MediaMissing 
藁	わら	straw	 MediaMissing 
～割	～わり	~ percent	 MediaMissing 
割当	わりあて	allotment, allocation, quota	 MediaMissing 
割込む	わりこむ	to cut in, to disturb	 MediaMissing 
悪者	わるもの	bad fellow, rascal	 MediaMissing 
我	われ	me, oneself, self, ego	 MediaMissing 
